group,primary_cat,title,abstract
Mathematics,math.RA,"Bialgebra cohomology, pointed Hopf algebras, and deformations","  We give explicit formulas for maps in a long exact sequence connecting
bialgebra cohomology to Hochschild cohomology. We give a sufficient condition
for the connecting homomorphism to be surjective. We apply these results to
compute all bialgebra two-cocycles of certain Radford biproducts
(bosonizations). These two-cocycles are precisely those associated to the
finite dimensional pointed Hopf algebras in the recent classification of
Andruskiewitsch and Schneider, in an interpretation of these Hopf algebras as
graded bialgebra deformations of Radford biproducts.
"
Nonlinear Sciences,nlin.AO,"Exploring the Adaptive Behaviors of Particle Lenia: A
  Perturbation-Response Analysis for Computational Agency","  A firm cognitive subject or ``individual'' is presupposed for the emergence
of mind. However, with the development of recent information technology, the
``individual'' has become more dispersed in society and the cognitive subject
has become increasingly unstable and adaptive, necessitating an update in our
understanding of the ``individual''. Autopoiesis serves as a model of the
cognitive subject, which is unstable and requires effort to maintain itself to
adapt to the environment. In this study, we evaluated adaptivity for a highly
extensible multi-particle system model Particle Lenia through the response
perturbation. As a result, we found that Particle Lenia has a particle
configuration that is both temporally unstable and has multiple stable states.
This result suggests that Particle Lenia can express adaptive characteristics
and is expected to be used as a computational model toward building an
autopoietic cognitive agent.
"
Mathematics,math.RA,The typical countable algebra,"  We argue that it makes sense to talk about ``typical'' properties of
lattices, and then show that there is, up to isomorphism, a unique countable
lattice L* (the Fraisse limit of the class of finite lattices) that has all
``typical'' properties.
  Among these properties are: L* is simple and locally finite, every order
preserving function can be interpolated by a lattice polynomial, and every
finite lattice or countable locally finite lattice embeds into L*.
  The same arguments apply to other classes of algebras assuming they have a
Fraisse limit and satisfy the finite embeddability property.
"
Quantitative Finance,q-fin.ST,Structural Change Analysis of Active Cryptocurrency Market,"  Structural Change Analysis of Active Cryptocurrency Market
"
Statistics,stat.ML,On Some Integrated Approaches to Inference,"  We present arguments for the formulation of unified approach to different
standard continuous inference methods from partial information. It is claimed
that an explicit partition of information into a priori (prior knowledge) and a
posteriori information (data) is an important way of standardizing inference
approaches so that they can be compared on a normative scale, and so that
notions of optimal algorithms become farther-reaching. The inference methods
considered include neural network approaches, information-based complexity, and
Monte Carlo, spline, and regularization methods. The model is an extension of
currently used continuous complexity models, with a class of algorithms in the
form of optimization methods, in which an optimization functional (involving
the data) is minimized. This extends the family of current approaches in
continuous complexity theory, which include the use of interpolatory algorithms
in worst and average case settings.
"
Computer Science,cs.SY,"Remote Sensing and Control for Establishing and Maintaining Digital
  Irrigation","  The remotely sensed data from an unknown location is transmitted in real time
through internet and gathered in a PC. The data is collected for a considerable
period of time and analyzed in PC as to assess the suitability and fertility of
the land for establishing an electronic plantation in that area. The analysis
also helps deciding the plantation of appropriate plants in the location
identified. The system performing this task with appropriate transducers
installed in remote area, the methodologies involved in transmission and data
gathering are reported.. The second part of the project deals with data
gathering from remote site and issuing control signals to remote appliances in
the site; all performed through internet. Therefore, this control scheme is a
duplex system monitoring the irrigation activities by collecting data in one
direction and issuing commands on the opposite direction. This scheme maintains
the digital irrigation systems effectively and efficiently as to utilize the
resources optimally for yielding enhanced production. The methodologies
involved in extending the two way communication of data are presented.
"
Electrical Engineering,eess.SY,"Stability and Stabilization Analysis of Interval Positive Takagi-Sugeno
  Fuzzy Systems by using Convex Optimization","  In this paper, the stability and stabilization problem of positive nonlinear
systems, described by the Takagi-Sugeno discrete-time fuzzy model, is studied.
The proposed approach is based on the linear co-positive Lyapunov function and
parallel distributed controller. Necessary and sufficient conditions for the
existence of a state feedback controller, which guarantees the positivity and
stability of the closed-loop system, are obtained by a new approach as linear
programming, and to solve it and obtain the controller coefficients, the
optimal Convex Optimization algorithm is used. Moreover, the design of the
robust controller has been considered. Finally, a numerical and practical
example is presented to illustrate the validity and effectiveness of the
designed method. Keywords: Linear Programming, Co-positive Linear Lyapunov
function, Takagi-Sugeno Fuzzy Systems, Positive Systems.
"
Nonlinear Sciences,nlin.CD,"Chaotic synchronizations of spatially extended systems as
  non-equilibrium phase transitions","  Two replicas of spatially extended chaotic systems synchronize to a common
spatio-temporal chaotic state when coupled above a critical strength. As a
prototype of each single spatio-temporal chaotic system a lattice of maps
interacting via power-law coupling is considered. The synchronization
transition is studied as a non-equilibrium phase transition, and its critical
properties are analyzed at varying the spatial interaction range as well as the
nonlinearity of the dynamical units composing each system. In particular,
continuous and discontinuous local maps are considered. In both cases the
transitions are of the second order with critical indexes varying with the
exponent characterizing the interaction range. For discontinuous maps it is
numerically shown that the transition belongs to the {\it anomalous directed
percolation} (ADP) family of universality classes, previously identified for
L{\'e}vy-flight spreading of epidemic processes. For continuous maps, the
critical exponents are different from those characterizing ADP, but apart from
the nearest-neighbor case, the identification of the corresponding universality
classes remains an open problem. Finally, to test the influence of
deterministic correlations for the studied synchronization transitions, the
chaotic dynamical evolutions are substituted by suitable stochastic models. In
this framework and for the discontinuous case, it is possible to derive an
effective Langevin description that corresponds to that proposed for ADP.
"
Mathematics,math.SP,"Remarks on counting negative eigenvalues of Schr\""odinger operator on
  regular metric trees","  We discuss estimates on the number $N_-(\alpha)$ of negative eigenvalues of
the Schr\""odinger operator $-\Delta-\alpha V$ on regular metric trees, as
depending on the properties of the potential $V\ge 0$ and on the value of the
large parameter $\alpha$. We obtain conditions on $V$ guaranteeing the behavior
$N_-(\alpha)=O(\alpha^p)$ for any given $p\ge 1/2$. For a special class of
trees we show that these conditions are not only sufficient but also necessary.
For $p>1/2$ the order-sharp estimates involve a (quasi-)norm of $V$ in some
`weak' $L_p$- or $\ell_p(L_1)$-space. We show that the results can be easily
derived from the ones of an earlier paper by Naimark and the author, Proc.
London Math. Soc. (3) 80 (2000), 690-724.
  The results considerably improve the estimates found in the recent paper by
Ekholm, Frank, and Kova\v{r}\'{i}k, arXive:0710.5500.
"
Economics,econ.EM,"Sequential Estimation of Multivariate Factor Stochastic Volatility
  Models","  We provide a simple method to estimate the parameters of multivariate
stochastic volatility models with latent factor structures. These models are
very useful as they alleviate the standard curse of dimensionality, allowing
the number of parameters to increase only linearly with the number of the
return series. Although theoretically very appealing, these models have only
found limited practical application due to huge computational burdens. Our
estimation method is simple in implementation as it consists of two steps:
first, we estimate the loadings and the unconditional variances by maximum
likelihood, and then we use the efficient method of moments to estimate the
parameters of the stochastic volatility structure with GARCH as an auxiliary
model. In a comprehensive Monte Carlo study we show the good performance of our
method to estimate the parameters of interest accurately. The simulation study
and an application to real vectors of daily returns of dimensions up to 148
show the method's computation advantage over the existing estimation
procedures.
"
