paper,title,room,category
1,Time-o1: Time-Series Forecasting Needs Transformed Label Alignment,Room 6,applications
2,"REVE: A Foundation Model for EEG - Adapting to Any Setup with Large-Scale Pretraining on 25,000 Subjects",Room 5,neuroscience_and_cognitive_science
3,ModHiFi: Identifying High Fidelity predictive components for Model Modification,Room 3,deep_learning
4,The Structure of Relation Decoding Linear Operators in Large Language Models,Room 3,deep_learning
5,Vulnerable Data-Aware Adversarial Training,Room 10,deep_learning
6,Tight analyses of first-order methods with error feedback,Room 6,optimization
7,Cost-Sensitive Freeze-thaw Bayesian Optimization for Efficient Hyperparameter Tuning,Room 4,deep_learning
8,Novel Exploration via Orthogonality,Room 12,reinforcement_learning
9,"The Good, the Bad and the Ugly: Meta-Analysis of Watermarks, Transferable Attacks and Adversarial Defenses",Room 2,theory
10,Improved Algorithms for Overlapping and Robust Clustering of Edge-Colored Hypergraphs: An LP-Based Combinatorial Approach,Room 4,general_machine_learning
11,GoalLadder: Incremental Goal Discovery with Vision-Language Models,Room 10,reinforcement_learning
12,CADGrasp: Learning Contact and Collision Aware General Dexterous Grasping in Cluttered Scenes,Room 1,applications
13,KLASS: KL-Guided Fast Inference in Masked Diffusion Models,Room 11,deep_learning
14,HM3: Hierarchical Multi-Objective Model Merging for Pretrained Models,Room 12,deep_learning
15,Router-R1: Teaching LLMs Multi-Round Routing and Aggregation via Reinforcement Learning,Room 3,deep_learning
16,Structure-Aware Spectral Sparsification via Uniform Edge Sampling,Room 1,theory
17,Information-Theoretic Discrete Diffusion,Room 6,theory
18,From Euler to AI: Unifying Formulas for Mathematical Constants,Room 7,machine_learning_for_sciences
19,CVGL: Causal Learning and Geometric Topology,Room 5,deep_learning
20,Q-Palette: Fractional-Bit Quantizers Toward Optimal Bit Allocation for Efficient LLM Deployment,Room 11,deep_learning
21,Neural Evolution Strategy for Black-box Pareto Set Learning,Room 4,optimization
22,Structured Sparse Transition Matrices to Enable State Tracking in State-Space Models,Room 7,deep_learning
23,Towards Generalizable 3D Human Pose Estimation via Ensembles on Flat Loss Landscapes,Room 9,applications
24,Cross-modal Associations in Vision and Language Models: Revisiting the Bouba-Kiki Effect,Room 9,evaluation
25,How Data Mixing Shapes In-Context Learning: Asymptotic Equivalence for Transformers with MLPs,Room 7,theory
26,Generalized Linear Mode Connectivity for Transformers,Room 1,deep_learning
27,Twilight: Adaptive Attention Sparsity with Hierarchical Top-$p$  Pruning,Room 12,deep_learning
28,MASTER: Enhancing Large Language Model via Multi-Agent Simulated Teaching,Room 9,deep_learning
29,Self-Supervised Learning of Graph Representations for Network Intrusion Detection,Room 6,applications
30,Kernel conditional tests from learning-theoretic bounds,Room 4,theory
31,SPOT: Scalable Policy Optimization with Trees for Markov Decision Processes,Room 3,reinforcement_learning
32,Thinking in Character: Advancing Role-Playing Agents with Role-Aware Reasoning,Room 1,applications
33,Cyclic Counterfactuals under Shift–Scale Interventions,Room 6,theory
34,SAFEx: Analyzing Vulnerabilities of MoE-Based LLMs via Stable Safety-critical Expert Identification,Room 7,social_and_economic_aspects_of_machine_learning
35,A geometric framework for momentum-based optimizers for low-rank training,Room 4,deep_learning
36,Atomic Thinking of LLMs: Decoupling and Exploring Mathematical Reasoning Abilities,Room 9,evaluation
37,Unveiling Concept Attribution in Diffusion Models,Room 1,social_and_economic_aspects_of_machine_learning
38,Brain network science modelling of sparse neural networks enables Transformers and LLMs to perform as fully connected,Room 4,deep_learning
39,Uncertainty-Sensitive Privileged Learning,Room 4,reinforcement_learning
40,Joint Modeling of fMRI and EEG Imaging Using Ordinary Differential Equation-Based Hypergraph Neural Networks,Room 1,neuroscience_and_cognitive_science
41,Improving Target Sound Extraction via Disentangled Codec Representations with Privileged Knowledge Distillation,Room 3,applications
42,MLEP: Multi-granularity Local Entropy Patterns for Generalized AI-generated Image Detection,Room 8,social_and_economic_aspects_of_machine_learning
43,Reasoning Models Sometimes Output Illegible Chains of Thought,Room 3,social_and_economic_aspects_of_machine_learning
44,JanusDNA: A Powerful Bi-directional Hybrid DNA Foundation Model,Room 2,machine_learning_for_sciences
45,PubSub-VFL: Towards Efficient Two-Party Split Learning in Heterogeneous Environments via Publisher/Subscriber Architecture,Room 10,infrastructure
